page,zip,size,year,make,model,trim,option,product,qty,session
product,76021,,2003,Mercedes-Benz,E320,Sedan,Sport Package,,,uid=26B1171A-AF65-E65E-320316718748E4E1&ssid=feb90607-5eb9-4a27-8384-c7ba7e9e623a
product,76107,,2003,BMW,525i,Sedan,Sport Package,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=aee6a9fe-1332-4a97-9c4f-c7ff44ea174c
product,76107,,2007,BMW,525xi,Sedan,Sport Package,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=a33f40fc-2e02-4347-aa74-27f94bd8979e
product,76107,,2012,Audi,Q5,2.0T Premium,,,,uid=2FF02F6A-ED7F-4323-5567C89246F9D6C1&ssid=66a7ced9-c8e7-4023-ade7-5d169ba30d8f
product,76021,,2012,Mercedes-Benz,G550,SUV,,,,uid=26B1171A-AF65-E65E-320316718748E4E1&ssid=e0fa3c26-2f28-4899-87e1-3313deabbdb3
verify,44130,,2012,BMW,328i,Convertible,M Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=14679de8-501c-4ba6-8807-c3937d2052e6
verify,44321,,2013,Dodge,Challenger,R/T,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=f271e4d0-2a45-47f8-bb78-3625fcc5a1c2
verify,44321,,2012,Dodge,Durango,Crew AWD,,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=07cbfc98-5bd7-490f-8a51-406a97c2f232
verify,44130,,2012,BMW,640i,Convertible,"M Sport Package (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=e89ee495-297f-43df-b2e5-d753fd4e9e96
verify,44130,,2013,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=35130094-7331-4568-a96a-c7a58dfe4c2d
verify,44321,,2009,Kia,Spectra,EX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=5a2b4621-a384-4cd8-a8c8-c61a164f5f2d
verify,44130,,2012,BMW,640i,Convertible,"Option (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=39df3104-9d57-4f04-8dff-0208debf764e
verify,44130,,2012,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=ce162502-3eaf-4b23-8d66-8f216caa5299
verify,44321,,2012,Dodge,Challenger,R/T Plus,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=359fe6b1-e4f4-4e17-a49c-f2056eb61448
verify,44130,,2012,BMW,328i,Sedan Base,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=d175c138-f821-4cdb-ba5e-3d250f43a9ba
verify,44321,,2012,Kia,Sorento,LX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=a002d03c-65f2-4375-94e4-6bebe629badd
verify,44305,,2003,Mercedes-Benz,E320,Sedan,Sport Package,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=ad62bc4a-c6ce-42dc-8d25-be02f80cbf60
verify,44130,,2003,BMW,525i,Sedan,Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=31853f07-48c3-45d5-89aa-1376d85a871f
verify,44130,,2007,BMW,525xi,Sedan,Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=bc8536f9-bdfd-4391-bb09-416f827afc8f
verify,44223,,2012,Audi,Q5,2.0T Premium,,,,uid=3C7C80D1-EBD3-8EE0-97924D011FF9B062&ssid=c17a8d02-8971-42b9-bdd6-e89e610234d0
verify,44305,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=54565685-dfd6-43b2-8bfa-051c0ad52707
verify,76107,,2012,BMW,328i,Convertible,M Sport Package,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=f78e0f8e-a8d2-4444-a7db-f35f60318d04
verify,76107,,2013,Dodge,Challenger,R/T,Standard,,,uid=99E3A03D-AC58-4441-C5AC01A8A68F0849&ssid=7b317ebe-72f4-4c2c-8e6d-eb7a25b11912
verify,76107,,2012,Dodge,Durango,Crew AWD,,,,uid=99E3A03D-AC58-4441-C5AC01A8A68F0849&ssid=4ac335c8-d437-45a7-8f5a-b0b36d04d314
verify,76107,,2012,BMW,640i,Convertible,"M Sport Package (19"")",,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=921a8484-c7f5-4a60-9d4b-588762b17876
verify,76107,,2013,BMW,328i,Convertible,Standard,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=2060dec8-3a6b-4b8b-87af-1dfb69421114
verify,76021,,2004,Mercedes-Benz,ML350,Base,,,,uid=26B1171A-AF65-E65E-320316718748E4E1&ssid=983505c7-436e-46d9-ab00-9d5273408eb6
verify,75062,,2009,Kia,Spectra,EX,,,,uid=40030C3B-B0BC-A8EE-66D92B5007D0D7EB&ssid=ecb8ad1f-950d-44ae-aac9-0310738429a5
verify,76107,,2012,BMW,640i,Convertible,"Option (19"")",,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=4f3ebf34-2357-4f6a-8dc4-08725eaf8263
verify,76107,,2012,BMW,328i,Convertible,Standard,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=3ed83e93-825a-458a-ab0b-a4ab7fe63e9e
verify,44321,,2012,Dodge,Challenger,R/T Plus,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=0f307b8b-7a03-4d5d-852b-e6aa494f1ba2
verify,44321,,2012,BMW,328i,Sedan Base,Standard,,,uid=A95FC3D1-075F-4294-35C6821E6327F7FF&ssid=fce5d918-886e-4a10-b590-78914f9194f6
product,44321,,2009,Kia,Spectra,LX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=b14d2c5a-8463-45fb-9fa1-d045aa4b85cc
product,44321,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=e4bd50fb-3021-435f-8446-3031dbd89a72
verify,44321,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=a13bda62-c271-452c-8826-442e73229ed3
verify,44321,,2009,Kia,Spectra,LX,,,,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=a920d9f7-1349-4ee6-bb08-f136bc8523d1
verify,44321,,2012,Dodge,Durango,Crew AWD,,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=06b13ed5-3f78-4dd4-8cbc-836d99b748a5
verify,44321,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=1f2538a0-3a45-4d33-96ae-509b6bb39a5d
tirecoach,44321,,2012,Kia,Sorento,LX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=704c5563-bec9-45a3-9b4d-931e6018893c
tirecoach,44321,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=026f584d-56f0-464b-b21b-4cb7e4c28867
product,44114,,2012,Kia,Sorento,LX,,,,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=564b35fd-1a73-4950-987d-f658ae1695a6
product,44114,,2012,Dodge,Durango,Crew AWD,,,,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=483da9ea-ce49-449a-acbc-a180a26add8a
product,44114,,2012,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=6336a173-3a1e-4c1f-b185-23d2531a57a3
product,44114,,2013,Dodge,Challenger,R/T,Standard,,,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=57af2fac-de0d-41ea-9906-aa9035e37b99
product,44114,,2013,Dodge,Challenger,R/T,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=a9f49a9f-4500-45e2-8916-69d567f41441
product,44114,,2013,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=c18669b2-52d2-4748-b6c8-8c264ac72b83
product,44114,,2013,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=6dd6e083-95e9-4a6f-93fe-40d6349d4cd8
product,44114,,2012,BMW,640i,Convertible,"Option (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=73649eea-d362-4ac7-bfac-3165e2cc0a2b
product,44114,,2013,Dodge,Challenger,R/T,Standard,,,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=6ca89c4f-12d4-4bc3-83ed-e82d8ce41dd5
product,44114,,2012,BMW,328i,Convertible,M Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=427250ba-c17e-4e9a-b855-0389462309dc
product,44114,,2003,BMW,525i,Sedan,Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=b6fc80e7-7321-4b86-9373-8b6be9be1f62
product,44114,,2012,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=300d0793-8327-4284-9671-5bdb62b93a7d
product,44114,,2012,BMW,640i,Convertible,"M Sport Package (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=67198ca2-b509-4201-a71b-cd0194ea6350
product,44114,,2012,Audi,Q5,2.0T Premium,,,,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=4b498fc6-9cd3-40f6-ac4e-7a3de2ba7b7c
product,44114,,2012,Kia,Sorento,LX,,,,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=cb2d58bb-c9fd-48d8-bf06-62da4dbd4627
product,44114,,2012,Audi,Q5,2.0T Premium,,,,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=e13d46d1-aa7e-411f-8714-2c4147fe0283
product,44114,,2012,Mercedes-Benz,G550,SUV,,,,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=5c9db988-2691-433a-9901-cab811b74942
product,44114,,2012,Dodge,Durango,Crew AWD,,,,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=5a8132d7-ff8b-4cc0-9f7b-0d5bc6157096
product,44114,,2012,Mercedes-Benz,G550,SUV,,,,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=99589b1c-b212-4b4d-96d6-0d4197c5843c
product,44114,,2012,Mercedes-Benz,G550,SUV,,,,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=6fe234f3-0b5f-4f5f-b41d-19e26491815a
product,44114,,2012,Kia,Sorento,LX,,,,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=c165911d-babc-42d9-9c86-f3113ab40772
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,4X4 Winter Contact,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=d2f232c5-2e11-4970-83e9-c7a900fc508e
checkout,44114,,2012,Audi,Q5,2.0T Premium,,AVID ENVigor,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=5886216a-fd72-4471-866f-15df93a8c954
checkout,44114,,2013,Dodge,Challenger,R/T,Standard,AVID ENVigor,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=5cd2c801-82a7-4c8a-9972-c7d8452d12f0
checkout,44114,,2012,Dodge,Durango,Crew AWD,,Spectrum H/P,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=d5fdcb42-4360-4d2b-a528-57e3c0d02a95
checkout,44114,,2003,BMW,525i,Sedan,Sport Package,Pilot Alpin PA3,1,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=06759a22-415d-4299-844d-80d94266beb2
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,4X4 Contact,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=76a87b4a-4822-4354-af5f-22f177b4a577
checkout,44114,,2012,Dodge,Challenger,R/T Plus,Standard,Spectrum H/P,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=686f324f-a880-476f-b515-c31bce19aa74
checkout,44114,,2012,Kia,Sorento,LX,,Eco Solus KL21,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=0f84bedd-b93e-4691-89e1-60f7bf965ca0
checkout,44114,,2009,Kia,Spectra,EX,,Altimax Arctic,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=47021a3e-5ded-47a8-84d0-4b6a719dbdee
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,Blizzak DM-V1,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=f8e26812-dacb-429f-bcfc-1bec6537ce6f
checkout,44114,,2012,Kia,Sorento,LX,,Latitude Tour HP,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=afd19f4b-ec59-4a51-9cfc-06d4c7aa9678
checkout,44114,,2012,Audi,Q5,2.0T Premium,,4X4 Winter Contact,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=dde7c6b5-9c8b-4f6e-b864-5bdbd5cca800
checkout,44114,,2009,Kia,Spectra,LX,,Ultra Grip Winter,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=d639d9aa-e242-46d0-b5f4-8d743ebbe2f7
checkout,44114,,2009,Kia,Spectra,EX,,Assurance Fuel Max,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=15e78f78-db07-4de3-8376-03fb952c957d
checkout,44114,,2009,Kia,Spectra,EX,,AVID ENVigor,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=3e5938bf-df2f-4a58-af9b-389bfa77e8cd
checkout,44114,,2012,Audi,Q5,2.0T Premium,,Grandtrek Touring A/S,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=86a58a9a-87ce-4797-91cb-f28832c7691a
checkout,44114,,2012,Kia,Sorento,LX,,Eco Solus KL21,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=70e607f2-46ad-4fa8-8234-21e7923fcbba
checkout,44114,,2012,Kia,Sorento,LX,,Latitude Tour HP,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=40791530-f79f-466b-9487-aee9a1fbb349
checkout,44114,,2012,Dodge,Durango,Crew AWD,,LTX M/S2,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=ddfd1b9c-6372-47fc-b988-416892d106bf
checkout,44114,,2012,Dodge,Durango,Crew AWD,,LTX A/S,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=4ff326ce-3d36-45cc-b5bd-c4a79c3ee21a
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,4X4 Winter Contact,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=b3b0a8c9-a399-4005-a15f-1cdd9bcc2476
checkout,44114,,2009,Kia,Spectra,LX,,Precision Sport,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=112cceae-d030-416f-aecf-62f6d49dac3d
checkout,44114,,2009,Kia,Spectra,EX,,Primacy MXV4,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=cf2c8b74-7cbc-4e11-bede-4f6b142b25b5
checkout,44114,,2012,Kia,Sorento,LX,,Latitude X-Ice XI2,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=2051a389-eae5-4e99-ad90-13bd8c73e097
checkout,44114,,2009,Kia,Spectra,LX,,AltiMAX HP,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=ff5df4a4-61ff-47af-807b-6c7e8128a8eb
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,Geolandar H/T G038G,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=e0d77b58-5410-4e28-92f5-e0dc007e125c
checkout,44114,,2012,Dodge,Durango,Crew AWD,,Eco Solus KL21,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=c4ff355d-031d-4189-880a-9268d7ca2f33
checkout,44114,,2012,Kia,Sorento,LX,,ContiProContact,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=001f8c4b-11c0-4e4f-8d27-5931e8410bc4
checkout,44114,,2012,Dodge,Durango,Crew AWD,,Geolandar A/T-S,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=f44c3c89-0049-42a5-a67e-38e5a997b2ed
checkout,44114,,2009,Kia,Spectra,LX,,Eagle RS-A,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=2d5fd240-59d8-4620-8718-25180fe08c9a
checkout,44114,,2012,Kia,Sorento,LX,,Latitude X-Ice XI2,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=d95ace3f-9d32-40f2-82a5-5b7ebdedbe09
checkout,44114,,2012,Kia,Sorento,LX,,CrossContact LX,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=479fc8ba-e78a-4a2e-a7e9-31717231a657
checkout,44114,,2012,Audi,Q5,2.0T Premium,,CrossContact LX20,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=c7c15e8f-a190-49eb-b448-9067db3a7590
checkout,44114,,2009,Kia,Spectra,LX,,Precision Sport,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=c33da751-59ff-4ec7-821e-4a40992fdc0e
checkout,44114,,2012,Kia,Sorento,LX,,Eco Solus KL21,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=4cf53cda-ea3e-4f52-8745-f2cb815bf479
checkout,44114,,2009,Kia,Spectra,LX,,Ultra Grip Winter,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=10c61452-1ec7-4e31-b243-018b844caa6a
checkout,44114,,2012,Audi,Q5,2.0T Premium,,CrossContact LX Sport,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=cfb0ae1b-b877-436e-9af3-6566431d4cab
checkout,44114,,2012,Dodge,Durango,Crew AWD,,Blizzak DM-V1,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=958414c7-7dbc-4134-80db-e0699a0567b7
checkout,44114,,2012,Kia,Sorento,LX,,CrossContact LX,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=1b5be4e2-c8c8-4d18-90ed-e6db336e83bd
checkout,44114,,2012,Audi,Q5,2.0T Premium,,Latitude Tour HP,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=1a7eadc3-40d8-4ddc-9f66-69f496147825
checkout,44114,,2012,Kia,Sorento,LX,,Solus KH16,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=e59ae37a-4676-4d4b-8e9e-93e3bd1db54f
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,4X4 Winter Contact,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=d826914a-f950-4f29-826a-6386d6413fa2
checkout,44114,,2012,Kia,Sorento,LX,,Solus KR21,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=7d6df530-1865-4ffe-bb45-f84b0907e5ce
checkout,44114,,2009,Kia,Spectra,EX,,Assurance Fuel Max,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=31b10440-1b0c-464e-aeea-f69960b08691
checkout,44114,,2012,Kia,Sorento,LX,,Eco Solus KL21,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=54d70e84-6bb4-468c-8a28-d769441c6531
checkout,44114,,2012,Dodge,Durango,Crew AWD,,Blizzak DM-V1,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=4ee57e37-900d-4795-92ad-80fd3aff3649
checkout,44114,,2009,Kia,Spectra,EX,,CP641 A/S,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=645e3a98-7883-4b19-8d70-841198ad99d0
checkout,44114,,2009,Kia,Spectra,LX,,SnowTrakker RD ST2,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=084a7c6c-3bbb-4970-b72f-5fe4a08e14a7
checkout,44114,,2012,Audi,Q5,2.0T Premium,,CrossContact LX Sport,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=891c6155-7468-4942-995e-e8a244c6ec6c
checkout,44114,,2012,Audi,Q5,2.0T Premium,,Grandtrek Touring A/S,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=eefc8e60-7712-4e14-bddc-745c6e8f9427
checkout,44114,,2012,Kia,Sorento,LX,,CrossContact LX,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=9857eed3-d655-42f9-b48a-7f94c9593610
checkout,44114,,2012,Audi,Q5,2.0T Premium,,4X4 Winter Contact,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=0da8ae2f-f925-4023-8450-4958d9d03938
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,Blizzak DM-V1,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=9dfdccc9-5a54-4d5b-a2fe-56f34840632f
checkout,44114,,2012,Kia,Sorento,LX,,Latitude X-Ice,1,uid=86ADD8A7-D290-FEEA-CB68A62ABA88D6E2&ssid=193fb22e-c910-433a-bfae-5fa3263bbac4
checkout,44114,,2012,Audi,Q5,2.0T Premium,,Scorpion Verde A/S Plus,1,uid=21BB6A0A-EDB7-1DA7-538EB1AFAEFA5D64&ssid=785ffe20-b569-4a20-9d90-3dace244d7b7
checkout,44114,,2012,Dodge,Durango,Crew AWD,,LTX M/S2,1,uid=BDCBDAF2-F430-CD2F-FA1DF22C7954B8E4&ssid=cb94ce4f-b5c3-490c-ab56-fa98cb23fb91
checkout,44114,,2012,Mercedes-Benz,G550,SUV,,Geolandar H/T G038G,1,uid=4D845891-A37B-2FF1-A9460F4F9972DA0F&ssid=1011c0be-fe2f-4752-a2a1-ec21c7518555
